,date,Mkt-RF,SMB,HML,RF
400,2018-11-13,-0.13,-0.05,0.16,0.008
401,2018-11-14,-0.77,0.03,-0.29,0.008
402,2018-11-15,1.18,0.31,-0.4,0.008
403,2018-11-16,0.15,-0.02,-0.05,0.008
404,2018-11-19,-1.88,-0.39,2.31,0.008
405,2018-11-20,-1.85,0.02,-0.54,0.008
406,2018-11-21,0.51,0.95,-0.34,0.008
407,2018-11-23,-0.55,0.76,-0.61,0.008
408,2018-11-26,1.62,-0.69,-0.2,0.008
409,2018-11-27,0.11,-1.06,0.26,0.008
410,2018-11-28,2.42,0.31,-1.17,0.008
411,2018-11-29,-0.22,-0.21,-0.09,0.008
412,2018-11-30,0.78,-0.38,-0.43,0.008
413,2018-12-03,1.13,-0.1,-0.8,0.011
414,2018-12-04,-3.45,-1.03,-0.2,0.011
415,2018-12-06,-0.16,-0.05,-1.05,0.011
416,2018-12-07,-2.36,0.27,1.34,0.011
417,2018-12-10,0.1,-0.36,-1.62,0.011
418,2018-12-11,-0.08,-0.15,-0.41,0.011
419,2018-12-12,0.68,0.5,-0.18,0.011
420,2018-12-13,-0.26,-1.55,-0.19,0.011
421,2018-12-14,-1.89,0.09,0.49,0.011
422,2018-12-17,-2.14,-0.12,1.08,0.011
423,2018-12-18,-0.03,-0.04,-0.62,0.011
424,2018-12-19,-1.58,-0.6,0.03,0.011
425,2018-12-20,-1.62,-0.12,0.97,0.011
426,2018-12-21,-2.17,-0.53,0.77,0.011
427,2018-12-24,-2.55,0.92,-0.49,0.011
428,2018-12-26,5.06,-0.19,-1.01,0.011
429,2018-12-27,0.78,-0.71,-0.13,0.011
430,2018-12-28,-0.03,0.75,0.26,0.011
431,2018-12-31,0.9,-0.13,-0.46,0.011
432,2019-01-02,0.23,0.74,1.12,0.01
433,2019-01-03,-2.45,0.48,1.2,0.01
434,2019-01-04,3.55,0.36,-0.7,0.01
435,2019-01-07,0.94,0.87,-0.75,0.01
436,2019-01-08,1.01,0.44,-0.63,0.01
437,2019-01-09,0.56,0.5,0.1,0.01
438,2019-01-10,0.42,0.0,-0.46,0.01
439,2019-01-11,-0.01,0.2,0.21,0.01
440,2019-01-14,-0.6,-0.46,0.94,0.01
441,2019-01-15,1.06,-0.14,-0.89,0.01
442,2019-01-16,0.28,0.26,0.93,0.01
443,2019-01-17,0.75,0.09,-0.24,0.01
444,2019-01-18,1.29,-0.29,0.12,0.01
445,2019-01-22,-1.53,-0.35,0.32,0.01
446,2019-01-23,0.15,-0.41,-0.14,0.01
447,2019-01-24,0.23,0.48,0.0,0.01
448,2019-01-25,0.9,0.42,-0.35,0.01
449,2019-01-28,-0.8,-0.08,0.63,0.01
450,2019-01-29,-0.19,0.03,0.17,0.01
451,2019-01-30,1.51,-0.35,-0.94,0.01
452,2019-01-31,0.92,-0.06,-1.08,0.01
453,2019-02-01,0.14,-0.16,0.43,0.01
454,2019-02-04,0.72,0.41,-0.46,0.01
455,2019-02-05,0.43,-0.12,-0.6,0.01
456,2019-02-06,-0.22,-0.03,0.07,0.01
457,2019-02-07,-0.93,-0.14,0.39,0.01
458,2019-02-08,0.09,-0.08,-0.69,0.01
459,2019-02-11,0.14,0.67,0.23,0.01
460,2019-02-12,1.36,0.04,-0.17,0.01
461,2019-02-13,0.28,0.06,0.07,0.01
462,2019-02-14,-0.21,0.52,-0.58,0.01
463,2019-02-15,1.13,0.38,0.48,0.01
464,2019-02-19,0.19,0.31,0.29,0.01
465,2019-02-20,0.19,0.28,0.54,0.01
466,2019-02-21,-0.37,-0.04,-0.23,0.01
467,2019-02-22,0.65,0.39,-1.48,0.01
468,2019-02-25,0.15,-0.28,-0.18,0.01
469,2019-02-26,-0.16,-0.68,-0.33,0.01
470,2019-02-27,0.09,0.15,-0.12,0.01
471,2019-02-28,-0.31,-0.01,-0.24,0.01
472,2019-03-01,0.72,0.25,-0.4,0.009
473,2019-03-04,-0.52,-0.39,0.38,0.009
474,2019-03-05,-0.17,-0.32,-0.23,0.009
475,2019-03-06,-0.84,-1.23,0.04,0.009
476,2019-03-07,-0.82,-0.05,-0.33,0.009
477,2019-03-08,-0.22,0.06,-0.17,0.009
478,2019-03-11,1.49,0.27,-0.52,0.009
479,2019-03-12,0.25,-0.31,-0.08,0.009
480,2019-03-13,0.68,-0.32,0.07,0.009
481,2019-03-14,-0.1,-0.38,0.31,0.009
482,2019-03-15,0.48,-0.24,-0.25,0.009
483,2019-03-18,0.46,0.23,0.45,0.009
484,2019-03-19,-0.09,-0.47,-0.91,0.009
485,2019-03-20,-0.39,-0.23,-1.04,0.009
486,2019-03-21,1.11,0.17,-1.22,0.009
487,2019-03-22,-2.17,-1.57,-0.07,0.009
488,2019-03-25,-0.05,0.6,-0.26,0.009
489,2019-03-26,0.76,0.23,0.47,0.009
490,2019-03-27,-0.5,0.16,0.49,0.009
491,2019-03-28,0.4,0.35,0.02,0.009
492,2019-03-29,0.66,-0.28,-0.92,0.009
493,2019-04-01,1.19,-0.19,0.99,0.01
494,2019-04-02,-0.05,-0.18,-0.45,0.01
495,2019-04-03,0.27,0.23,-0.4,0.01
496,2019-04-04,0.19,0.35,0.93,0.01
497,2019-04-05,0.52,0.49,-0.07,0.01
498,2019-04-08,0.08,-0.31,0.1,0.01
499,2019-04-09,-0.65,-0.6,-0.14,0.01
500,2019-04-10,0.48,0.95,-0.1,0.01
501,2019-04-11,0.0,-0.27,0.41,0.01
502,2019-04-12,0.65,-0.36,0.65,0.01
503,2019-04-15,-0.09,-0.26,-0.54,0.01
504,2019-04-16,0.13,0.24,0.7,0.01
505,2019-04-17,-0.32,-0.53,0.84,0.01
506,2019-04-18,0.11,-0.28,-0.51,0.01
507,2019-04-22,0.11,-0.48,-0.55,0.01
508,2019-04-23,0.97,0.66,-0.49,0.01
509,2019-04-24,-0.23,0.31,-0.08,0.01
510,2019-04-25,-0.14,-0.79,-0.19,0.01
511,2019-04-26,0.53,0.48,0.06,0.01
512,2019-04-29,0.18,0.16,0.64,0.01
513,2019-04-30,-0.04,-0.68,0.28,0.01
514,2019-05-01,-0.83,-0.07,-0.03,0.009
515,2019-05-02,-0.16,0.46,-0.28,0.009
516,2019-05-03,1.13,0.93,-0.27,0.009
517,2019-05-06,-0.39,0.58,-0.41,0.009
518,2019-05-07,-1.69,-0.27,0.51,0.009
519,2019-05-08,-0.22,-0.21,-0.32,0.009
520,2019-05-09,-0.28,0.06,0.12,0.009
521,2019-05-10,0.35,-0.33,0.08,0.009
522,2019-05-13,-2.67,-0.68,0.29,0.009
523,2019-05-14,0.93,0.34,-0.02,0.009
524,2019-05-15,0.58,-0.1,-0.96,0.009
525,2019-05-16,0.91,-0.45,-0.32,0.009
526,2019-05-17,-0.73,-0.76,0.29,0.009
